YT新聞,#genre#
鏡新聞Mnews,https://github.com/wilsonYM/YTM/raw/main/yt_mnews.m3u8
飢餓遊戲,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_HungerGames.m3u8
歡喜玉玲瓏,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_Yulinglong.m3u8
寰宇台灣台,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_globalnewstw1.m3u8
寰宇台灣台,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_globalnewstw2.m3u8
三立inews,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_setinews.m3u8
三立新聞台,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_setnews.m3u8
東森財經新聞,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_57EBC.m3u8
民視新聞,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_FTV_News.m3u8
台視新聞,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_TTV_NEWS.m3u8
華視新聞,https://raw.githubusercontent.com/wilsonYM/YTM/main/yt_CtsTw.m3u8
##
鬥魚,#genre#
名偵探柯南,https://raw.githubusercontent.com/wilsonYM/YTM/main/douyu_Conan.m3u8
奔跑吧男孩,https://raw.githubusercontent.com/wilsonYM/YTM/main/douyu_running_man1.m3u8
奔跑吧男孩,https://raw.githubusercontent.com/wilsonYM/YTM/main/douyu_running_man2.m3u8
##
台-新聞,#genre#
東森新聞,http://2023.stream-link.org/live/1793825065
東森財經新聞,http://2023.stream-link.org/live/249006034
華視新聞,http://2023.stream-link.org/live/215730961
中天新聞,http://2023.stream-link.org/live/1552993665
中視新聞,http://2023.stream-link.org/live/926790469
民視新聞,http://2023.stream-link.org/live/1637144344
寰宇國際新聞,http://2023.stream-link.org/live/1212532853
寰宇台灣新聞,http://2023.stream-link.org/live/1932250847
三立財經新聞,http://2023.stream-link.org/live/172551145
三立新聞,http://2023.stream-link.org/live/1803236734
三立新聞+,http://2023.stream-link.org/live/1998094138
台視新聞,http://2023.stream-link.org/live/966381653
TVBS新聞,http://2023.stream-link.org/live/401131254
TVBS財經,http://2023.stream-link.org/live/1711676066
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941622
TVBS新聞,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=E9ymAxKoVJ
TVBS新聞,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=vFR5CkmzbA
年代新聞 HD,http://220.134.196.147:9517/index.m3u8
年代新聞 HD,http://220.134.196.147:9517/http/116.50.42.18:8088/index.m3u8
年代新聞 HD,http://220.134.196.147:9517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
民視新聞 HD,http://220.134.196.147:9514/index.m3u8
民視新聞 HD,http://123.51.230.108:18663/.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
台視新聞 HD,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
中視新聞 HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中視新聞 HD,https://ytm2.yuanhsing.cf/twctvnews.m3u8
華視新聞資訊 HD,http://stream.dsichannel.com:80/hls/cts-news.m3u8
華視新聞資訊 HD,http://stream.dsichannel.com/hls/cts-news.m3u8
華視 新聞資訊,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156391&extension=ts&play_token=UEKTIim7lP
三立新聞LIVE,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
LIVE三立,http://2023.stream-link.org/playlist/set_news.flv
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
鏡新聞Mnews,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
鏡新聞Mnews,https://ytm2.yuanhsing.cf/mnews.m3u8
東森LIVE,http://2023.stream-link.org/playlist/ebc_news.flv
東森財經 HD,rtmp://59.124.75.138/sat/tv571
東森財經 HD,http://123.51.230.108:18515/.m3u8
東森財經 HD,http://123.51.229.65:18515/.m3u8
東森財經 HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
東森財經 HD,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經 HD,http://60.251.33.252:18515/.m3u8
非凡新聞 HD,http://220.134.196.147:9539/index.m3u8
非凡商業,http://59.125.101.187:8535/http/192.168.77.24:8081/hls/74/816/ch56.m3u8
SBN全球財經,http://www.336699.live:1935/blocksix/4gtv-live060.stream/chunklist.m3u8
雲林新聞網,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
南投新聞網,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=http%3A%2F%2Ftitv.ipcf.org.tw%2F
原住民族電視台,http://streamipcf.akamaized.net/live/_definst_/smil:liveabr.smil/playlist.m3u8
原住民族電視台,https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8?cuac=guest&cref=https%3A%2F%2Fwww.ipcf.org.tw%2F
原住民族電視台,https://streamipcf.akamaized.net/live/_definst_/smil:live.smil/chunklist_b3000.m3u8
##




台-綜合,#genre#
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941621
TVBS亞洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156402&extension=ts&play_token=UEKTIim7lP
TVBS亞洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA
